name,description
Frederick Chiluba,"Frederick Jacob Titus Chiluba (April 30, 1943 – June 18, 2011) was a Zambian politician who was the second President of Zambia from 1991 to 2002. Chiluba, a trade union leader, won the country's multi-party presidential election in 1991 as the candidate of the Movement for Multiparty Democracy (MMD), defeating long-time President Kenneth Kaunda. He was re-elected in 1996. As he was unable to run for a third term in 2001, former Vice President Levy Mwanawasa instead ran as the MMD candidate and succeeded him. After leaving office, Chiluba was the subject of a long investigation and trial regarding alleged corruption; he was eventually acquitted in 2009."
Frederick Coffay Yohn,"Frederick Coffay Yohn (February 8, 1875–June 6, 1933), often recognized only by his initials, F. C. Yohn, was an artist and magazine illustrator."
Frederick Converse,"Frederick Shepherd Converse (January 5, 1871 – June 8, 1940), was an American composer of classical music."
Frederick Copleston,"Frederick Charles Copleston, SJ, CBE (10 April 1907 – 3 February 1994) was a Jesuit priest, philosopher, and historian of philosophy."
Frederick D. Gregory,"Frederick Drew Gregory (Colonel, USAF, Ret. ) is a former NASA astronaut and former NASA Deputy Administrator. He also served briefly as NASA Acting Administrator in early 2005, covering the period between the departure of Sean O'Keefe and the swearing in of Michael Griffin."
Frederick Douglass,"Frederick Douglass (born Frederick Augustus Washington Bailey, c. February 1818 – February 20, 1895) was an American social reformer, orator, writer and statesman. After escaping from slavery, he became a leader of the abolitionist movement, gaining note for his dazzling oratory and incisive antislavery writing. He stood as a living counter-example to slaveholders' arguments that slaves did not have the intellectual capacity to function as independent American citizens. Many Northerners also found it hard to believe that such a great orator had been a slave. Douglass wrote several autobiographies, eloquently describing his experiences in slavery in his 1845 autobiography, Narrative of the Life of Frederick Douglass, an American Slave, which became influential in its support for abolition. He wrote two more autobiographies, with his last, Life and Times of Frederick Douglass, published in 1881 and covering events through and after the Civil War. After the Civil War, Douglass remained active in the United States' struggle to reach its potential as a ""land of the free"". Douglass actively supported women's suffrage. Without his approval, he became the first African American nominated for Vice President of the United States as the running mate of Victoria Woodhull on the impracticable and small Equal Rights Party ticket. Douglass held multiple public offices. Douglass was a firm believer in the equality of all people, whether black, female, Native American, or recent immigrant, famously quoted as saying, ""I would unite with anybody to do right and with nobody to do wrong."""
Frederick E. Morgan,"Lieutenant General Sir Frederick Edgeworth Morgan KCB (5 February 1894 – 19 March 1967) was a British Army officer who fought in both world wars. He is best known as the Chief of Staff to the Supreme Allied Commander (COSSAC), the original planner of Operation Overlord. A graduate of the Royal Military Academy, Woolwich, Morgan was commissioned as a second lieutenant in the Royal Field Artillery in 1913. During the First World War he served on the Western Front as an artillery subaltern and staff officer. Afterwards he served two long tours with the British Army in India. Shortly before the outbreak of the Second World War in 1939, Morgan was promoted to brigadier and assumed command of the 1st Support Group of the 1st Armoured Division, which he led during the Battle of France. In May 1942 he was became a lieutenant general and given command of the I Corps. Morgan's headquarters was designated Force 125, and given the task of dealing with a German thrust through Spain to Gibraltar that never occurred. In March 1943 he was appointed Chief of Staff to the Supreme Allied Commander (Designate), or COSSAC. As COSSAC he directed the planning for Operation Overlord. When General Dwight Eisenhower became Supreme Allied Commander, Major General Bedell Smith became Chief of Staff at Supreme Headquarters Allied Expeditionary Force (SHAEF), while Morgan became Deputy Chief of Staff. After the war, Morgan served as Chief of Operations for the United Nations Relief and Rehabilitation Administration (UNRRA) in Germany until his position in Germany was eliminated following publication of ""off the record"" comments concerning incompetence and corruption within UNRRA, including diverting the resources of UNRRA to the support of Zionist ambitions to further political ambitions. In 1951, Morgan became Controller of Atomic Energy, and was present for Operation Hurricane, the first British atomic weapons tests at the Montebello Islands in 1952. His position was abolished in 1954 with the creation of the United Kingdom Atomic Energy Authority but he remained as Controller of Nuclear Weapons until 1956."
Frederick Forsyth,"Frederick Forsyth, CBE (born 25 August 1938) is an English author and occasional political commentator. He is best known for thrillers such as The Day of the Jackal, The Odessa File, The Fourth Protocol, The Dogs of War, The Devil's Alternative, The Fist of God, Icon, The Veteran, Avenger, The Afghan and The Cobra."
Frederick G. Donnan,"Frederick George Donnan CBE FRS (September 6, 1870 - December 16, 1956) was an Irish physical chemist who is known for his work on membrane equilibria, and commemorated in the Donnan equilibrium describing ionic transport in cells. He spent most of his career at University College London."
Frederick Goddard Tuckerman,"Frederick Goddard Tuckerman (February 4, 1821 – May 9, 1873) was an American poet, remembered mostly for his sonnet series. Apart from the 1860 publication of his book Poems, which included approximately two-fifths of his lifetime sonnet output and other poetic works in a variety of forms, the remainder of his poetry was published posthumously in the 20th century. Attempts by several 20th-century scholars and critics to spark wider interest in his life and works have proved generally ineffective. Though his works appear in 19th-century-American-poetry and sonnet anthologies, this reclusive contemporary of Emily Dickinson, Herman Melville and Thoreau, sometime correspondent of Hawthorne, Emerson and Longfellow, and acquaintance of Tennyson remains in relative obscurity."
Frederick Griffith,"Frederick Griffith (c. 1879–1941) was a British bacteriologist whose focus was the epidemiology and pathology of bacterial pneumonia. In January 1928 he reported what is now known as Griffith's Experiment, the first widely accepted demonstrations of bacterial transformation, whereby a bacterium distinctly changes its form and function. He showed that Streptococcus pneumoniae, implicated in many cases of lobar pneumonia, could transform from one strain into a different strain. The observation was attributed to an unidentified transforming principle or transforming factor. This was later identified as DNA. America's leading pneumococcal researcher, Oswald T. Avery, speculated that Griffith had failed to apply adequate controls. A cautious and thorough researcher, and a reticent individual, Griffith's tendency was to publish only findings that he believed truly significant, and Griffith's findings were rapidly confirmed by researchers in Avery's laboratory. His discovery was one of the first to show the central role of DNA in heredity."
Frederick Haldimand,"Sir Frederick Haldimand, KB (August 11, 1718 – June 5, 1791) was a military officer best known for his service in the British Army in North America during the Seven Years' War and the American Revolutionary War. From 1778 to 1786 he served as Governor of the Province of Quebec, during which time he oversaw military operations against the northern frontiers in the war, and engaged in ultimately fruitless negotiations to establish the independent Vermont Republic as a new British province. His administration of Quebec was at times harsh, with the detention of numerous political dissidents and agitators."
Frederick Herzberg,"Frederick Irving Herzberg (April 18, 1923 – January 19, 2000) born in Massachusetts was an American psychologist who became one of the most influential names in business management. He is most famous for introducing job enrichment and the Motivator-Hygiene theory. His 1968 publication ""One More Time, How Do You Motivate Employees?"" had sold 1.2 million reprints by 1987 and was the most requested article from the Harvard Business Review."
Frederick Hollyer,"Frederick Hollyer (17 June 1838 - 21 November 1933) was an English photographer and engraver known for his photographic reproductions of paintings and drawings, particularly those of the Pre-Raphaelite Brotherhood, and for portraits of literary and artistic figures of late Victorian and Edwardian London."
"Frederick I, Duke of Anhalt",Frederick I (German: Herzog Friedrich I von Anhalt) (29 April 1831 – 24 January 1904) was a German prince of the house of Ascania who ruled the Duchy of Anhalt from 1871 to 1904.
"Frederick I, Elector of Saxony","Frederick IV of Meissen and Elector of Saxony (Frederick the Belligerent) (11 April 1370 – 4 January 1428) was Margrave of Meissen and Elector of Saxony from 1381 until his death. He is not to be confused with his cousin Frederick IV, Landgrave of Thuringia, the son of Balthasar, Landgrave of Thuringia. Frederick the Warlike was never Landgrave of Thuringia."
"Frederick I, Margrave of Meissen","Frederick I, called the Brave or the Bitten (German Friedrich der Freidige or Friedrich der Gebissene; 1257 – 16 November 1323) was margrave of Meissen and landgrave of Thuringia."
"Frederick II, Duke of Saxe-Gotha-Altenburg","Frederick II, Duke of Saxe-Gotha-Altenburg (Gotha, 28 July 1676 – Altenburg, 23 March 1732), was a duke of Saxe-Gotha-Altenburg. He was the fifth child and first son of Frederick I, Duke of Saxe-Gotha-Altenburg and Magdalene Sibylle of Saxe-Weissenfels. After the death of his father, in 1691, Frederick II assumed the duchy of Saxe-Gotha-Altenburg. Because he was still under age, a guardianship and co-regency was formed between his uncles, the dukes Bernhard I of Saxe-Meiningen and Heinrich of Saxe-Römhild. In 1693, after he returned from a journey to Holland and England, he wrote to the emperor for a license of adult age and took independent control of the government of his duchy. Frederick was a splendor-loving baroque ruler; his yard attitude and the standing army, whom he had taken over from his father and even expanded, devoured some of his income. As a solution, Frederick rented his soldiers to foreign princes, which brought him a great difficulty in 1702, when the King Louis XIV of France rented his troops and used them in his war against the Emperor. Relating to domestic affairs, Frederick essentially continued the policy of his father. He created an orphanage in Altenburg (1715), a breed and a lunatic asylum in Kahla (1726), as well as the Magdalenenstift -in honor of his mother and wife (both with the same name)- (1705), a school for noble women. For 100,000 talents from his private property, he bought the famous numismatic collection of the Prince Anton Günther of Schwarzburg Arnstadt, which formed the current collection of coins (Münzkabinetts) in the Schloss Friedenstein. By accumulation of parts of Saxe-Coburg (became extinct in 1699), Saxe-Eisenberg (became extinct in 1707) and Saxe-Römhild (became extinct in 1710), he succeeded to all, however only at long hereditary disputes under the other Ernestine Duchies, which went only to 1735 with an arbitral award of the Emperor finally to end reaching in each case area increases for his country."
"Frederick III, Elector of Saxony","Frederick III of Saxony (17 January 1463 – 5 May 1525), also known as Frederick the Wise (German ""Friedrich der Weise""), was Elector of Saxony from 1486 to his death. Frederick was the son of Ernest, Elector of Saxony and his wife Elisabeth, daughter of Albert III, Duke of Bavaria. He is notable as being one of the most powerful early defenders of Martin Luther, Lutheranism, and the Protestant Reformation. He is commemorated as a Christian ruler in the Calendar of Saints of the Lutheran Church - Missouri Synod on 5 May. His court painter since 1504 was Lucas Cranach the Elder."
Frederick Jelinek,"Frederick Jelinek (18 November 1932 – 14 September 2010) was a Czech American researcher in information theory, automatic speech recognition, and natural language processing. He was well known for his oft-quoted quip that ""Every time I fire a linguist, the performance of the speech recognizer goes up"". Born in Czechoslovakia just before the war, his family managed to emigrate to the United States in the early years of the communist regime. He studied engineering at the Massachusetts Institute of Technology and taught for 10 years at Cornell University before being offered a job at IBM Research. There his team essentially revolutionized approaches to computer speech recognition and machine translation. After IBM, he went to head the Center for Language and Speech Processing at Johns Hopkins University for 17 years, and he was still working on the day of his death. He had been married since 1961 to Czech screenwriter Milena Jelinek."
Frederick Kipping,"Professor Frederick Stanley Kipping FRS (16 Aug 1863 - 1 May 1949) was an English chemist. He was born in Manchester, England, the son of James Kipping, a Bank of England official, and educated at Manchester Grammar School before enrolling in 1879 at Owens College (now Manchester University) for an external degree from the University of London. After working for the local gas company for a short time he went in 1886 to Germany to work under William Henry Perkin, Jr. in the laboratories of Adolf von Baeyer at Munich University. Back in England, he took a position as demonstrator for Perkin, who had been appointed professor at Heriot-Watt College, Edinburgh. In 1890, Kipping was appointed chief demonstrator in chemistry for the City and Guilds of London Institute, where he worked for the chemist Henry Edward Armstrong. In 1897 he moved to University College, Nottingham as professor of the chemistry department, and became the first newly endowed Sir Jesse Boot professor of chemistry at the university in 1928. He remained there until his retirement in 1936. Kipping undertook much of the pioneering work into the development of silicon polymers at Nottingham. He pioneered the study of the organic compounds of silicon and coined the term silicone. His research formed the basis for the worldwide development of the synthetic rubber and silicone-based lubricant industries. He also co-wrote, with Perkin, a standard textbook in organic chemistry (Organic Chemistry, Perkin and Kipping, 1899). He was elected a Fellow of the Royal Society in June, 1897. He was awarded their Davy Medal in 1918 and delivered their Bakerian Lecture in 1936. He retired in 1936 and died in Criccieth, Wales. He had married in 1888 Lilian Holland, one of three sisters. Both his brothers-in-law were eminent scientists themselves"
Frederick Kroesen,"Frederick James Kroesen, Jr. (born February 11, 1923) is a United States Army four-star general and was the Commanding General of the Seventh United States Army and the commander of NATO Central Army Group from 1979 to 1983, and Commanding General, United States Army Forces Command from 1976 to 1978. He also served as Vice Chief of Staff of the Army from 1978 to 1979. Kroesen is a graduate of Rutgers University. He earned an M.A. in International Affairs at George Washington University. He commanded troops in World War II, the Korean War, and the Vietnam War. He was awarded the Department of Defense Distinguished Service Medal. He also served as the Vice Chief of Staff of the United States Army. After leaving the army, Kroesen became a businessman. He is currently chairman of the board of Military Professional Resources Inc. and a senior fellow at the Institute of Land Warfare of the Association of the United States Army. He is additionally the Vice-President of the American Security Council Foundation."
Frederick Lau,"Frederick Lau is a German actor. He grew up and still lives in Berlin-Steglitz. He was awarded the Deutscher Filmpreis (German Film Awards, colloquially known as the Lolas) for portraying the student Tim in the film Die Welle based on the novel by Dennis Gansel. Since 2000 he has played over 50 roles in film and television."
"Frederick Law Olmsted, Jr.","Frederick Law Olmsted, Jr. (July 24, 1870 – December 25, 1957) was an American landscape architect who is best known for his wildlife conservation efforts. He had a lifetime commitment to national parks, and worked on projects in Acadia, the Everglades and Yosemite National Park. Olmsted Point in Yosemite and Olmsted Island at Great Falls of the Potomac River in Maryland are named after him. He and his brother John C. Olmsted created Olmsted Brothers as a successor firm to their father's."
"Frederick Louis, Duke of Schleswig-Holstein-Sonderburg-Beck","Frederick Louis of Holstein-Sonderburg-Beck (German: Friedrich Ludwig von Holstein-Sonderburg-Beck; 6 April 1653 – 7 March 1728) was a Duke of Schleswig-Holstein-Sonderburg-Beck and field marshal of the Prussian Army. He was the son of August Philipp, Duke of Schleswig-Holstein-Sonderburg-Beck and Countess Marie Sibylle of Nassau-Saarbrücken."
Frederick Marryat,"Captain Frederick Marryat (10 July 1792 – 9 August 1848) was an English Royal Navy officer, novelist, and a contemporary and acquaintance of Charles Dickens, noted today as an early pioneer of the sea story. He is now known particularly for the semi-autobiographical novel Mr Midshipman Easy and his children's novel The Children of the New Forest, and for a widely used system of maritime flag signalling, known as Marryat's Code."
Frederick Mosteller,"Charles Frederick Mosteller (December 24, 1916 – July 23, 2006), usually known as Frederick Mosteller or Fred, was one of the most eminent statisticians of the 20th century. He was the founding chairman of Harvard's statistics department, from 1957 to 1971, and served as the president of several professional bodies including the Psychometric Society, the American Statistical Association, the Institute of Mathematical Statistics, the American Association for the Advancement of Science, and the International Statistical Institute."
Frederick Muhlenberg,"Frederick Augustus Conrad Muhlenberg was an American minister and politician who was the first Speaker of the United States House of Representatives. A delegate and a member of the U.S. House of Representatives from Pennsylvania and a Lutheran pastor by profession, Muhlenberg was born in Trappe, Pennsylvania. According to a false legend, Muhlenberg as House Speaker prevented German from becoming an official language of the United States. Nothing like that ever happened."
"Frederick Roberts, 1st Earl Roberts","Field Marshal Frederick Sleigh Roberts, 1st Earl Roberts VC KG KP GCB OM GCSI GCIE KStJ VD PC (30 September 1832 – 14 November 1914) was a British soldier who was one of the most successful commanders of the 19th century. He served in the Indian rebellion, the Expedition to Abyssinia and the Second Anglo-Afghan War before leading British Forces to success in the Second Boer War. He also became the last Commander-in-Chief of the Forces before the post was abolished in 1904."
Frederick Stafford,"Frederick Stafford (11 March 1928 – 28 July 1979) was a Czech-born actor. Born Friedrich Strobel von Stein, he spoke fluent Czech, German, English, French and Italian, and was a leading man in European spy-movies. In 1964 French director André Hunebelle discovered him on holiday at a hotel in Bangkok and asked him ""How would you like to make movies with me?"" Stafford replied, ""Why not?,"" and replaced Kerwin Mathews to play an agent code-named OSS 117 in two Bond-like-adventures. He co-starred in the first one with Mylène Demongeot, and in the second with Marina Vlady. He also appeared in war-films (The Battle of El Alamein) and in Michel Boisronds thriller Million Dollar Man alongside Anny Duperey. These movies brought the attention of Alfred Hitchcock, who signed him in 1968 to play the leading role as agent André Devereaux in Topaz (1969), but the film was not a success. The casting of Stafford, whose performance was found lacking by critics, was largely blamed for its failure. Channel4 claimed, ""Heading the international cast is a very wooden Stafford, who is no Cary Grant. "" He married German actress Marianne Hold. His son is the singer Roderick Stafford, who was born in 1964. He made a come-back in 1972 as Commissario Luca Micelli in the Italian Giallo Shadows Unseen. Five years after Topaz, he starred with French actress Claude Jade (who had played his daughter in Topaz) in the Italian thriller La ragazza di Via Condotti (Meurtres à Rome/Special Killers) (1973/74). In that movie, Stafford's character has a brief platonic romance with Jade's character despite a 20 year age difference. His last successes were the Spanish Movies Blood and Passion(1975) and White Horses of Summer (1975, starring Jean Seberg, his co-star from 1966 Estouffade à la Caraïbe), the Italian thriller Werewolf Man (1976) and the Spanish- Italian-French coproduction Hold-Up (1977). Stafford died in 1979 in a plane crash."
Frederick W. A. G. Haultain,"Sir Frederick William Alpin Gordon Haultain (November 25, 1857 – January 30, 1942) was a lawyer and a long serving Canadian politician and judge. His career in provincial and territorial legislatures stretched into four decades. He served as the first premier of Canada's Northwest Territories from 1897 to 1905 as is recognized as having a significant contribution towards the creation of the provinces of Alberta and Saskatchewan. From 1905 on he served as Leader of the Official Opposition in Saskatchewan as well as Leader of the Provincial Rights Party. His legislative career ended when he was appointed to the judiciary in 1912."
Frederick W. Smith,"Frederick Wallace Smith (born August 11, 1944), or Fred Smith, is the founder, chairman, president, and CEO of FedEx, originally known as Federal Express, the first overnight express delivery company in the world, the largest in the United States and largest in the world. The company is headquartered in Memphis, Tennessee."
Frederick W. True,"Frederick William True (July 8, 1858 - June 25, 1914) was an American biologist, the first head curator of biology (1897–1911) at the United States National Museum, now part of the Smithsonian Institution. He was born in Middletown, Connecticut in 1858. He received a B.S. from the University of New York in 1878. True was curator of mammals from 1883 to 1897. True was appointed to the board of the American Philosophical Society on March 2, 1900. His specialty was cetaceans and True's Beaked Whale was named after him. He was also closely associated with the Smithsonian Institution from 1881 until his death in 1914."
"Frederick William II, Duke of Saxe-Altenburg","Frederick William II (Weimar, 12 February 1603 – Altenburg, 22 April 1669), was a duke of Saxe-Altenburg. He was the youngest son of Frederick William I, Duke of Saxe-Weimar, and Anna Maria of the Palatinate-Neuburg, his second wife. He was born eight months after the death of his father, on 7 July 1602. Shortly after his birth, Frederick William II and his older brothers inherited Saxe-Altenburg as co-rulers under the guardianship of the Electors of Saxony Christian II and John George I until 1618, when his older brother John Philip assumed the government of the duchy and the guardianship of his younger siblings. By 1632, two of his three brothers were deceased. Frederick William II and his older brother John Philip began a joint government; but, in fact, John Philip was the real and only ruler of the duchy of Saxe-Altenburg. Frederick William II was only a nominal ruler until the death of John Philip (1639), when he began his personal reign over Altenburg. At Altenburg Castle on 18 September 1638 Frederick William II married his first wife, Sophie Elisabeth, the only daughter of Christian William of Brandenburg. She died in 1650 after twelve years of childless marriage. In Dresden on 11 October 1652 Frederick Wilhelm II married secondly with Magdalene Sibylle of Saxony, Dowager Crown Princess of Denmark and daughter of his former regent, the Elector John George I. They had three children: Christian (b. Altenburg, 27 February 1654 – d. Altenburg, 5 June 1663). Painting of Christian Johanna Magdalena (b. Altenburg, 14 January 1656 – d. Weissenfels, 22 January 1686), married on 25 October 1671 to Johann Adolf I, Duke of Saxe-Weissenfels. Frederick William III, Duke of Saxe-Altenburg (b. Altenburg, 12 July 1657 – d. Altenburg, 14 April 1672). In 1660 he acquired the towns of Themar and Meiningen. In 1664 he built a hunting seat in Hummelshain, and, in 1665, he built a particularly beautiful widow seat (Witwensitz) called ""Magdalenenstift"" in Altenburg for his wife Magdalene Sybille,. After his death he was succeeded by his second and only surviving son, Frederick William III."
Frederick Wiseman,"Frederick Wiseman is an American filmmaker, documentarian, and theatrical director. He came to documentary filmmaking after first being trained as a lawyer. He has won numerous film awards, as well as Guggenheim and MacArthur fellowships. In 2003, Wiseman was awarded the Dan David Prize for his outstanding films, which make us reckon with our emotions and the cost to society of marginalizing those who cannot speak for themselves. In 2006, Wiseman received the George Polk Career Award, given annually by Long Island University to honor contributions to journalistic integrity and investigative reporting. The first feature-length film that Wiseman produced was The Cool World in 1963. He next produced and directed Titicut Follies (1967). He has both produced and directed all of his films since. They chiefly are studies of social institutions: for example, hospital, high school, police department. All have been aired on PBS, one of his primary funders. The style of Wiseman's films is often referred to as the observational mode, which has its roots in direct cinema. However, Wiseman dislikes the term: What I try to do is edit the films so that they will have a dramatic structure, that is why I object to some extent to the term observational cinema or cinéma vérité, because observational cinema to me at least connotes just hanging around with one thing being as valuable as another and that is not true. At least that is not true for me and cinema verité is just a pompous French term that has absolutely no meaning as far as I'm concerned. Aftab, Weltz In spring 2012 Wiseman took actively part in the three month exposition of Whitney Biennial."
Frederick de Cordova,"Frederick ""Fred"" Timmins de Cordova (October 27, 1910 - September 15, 2001) was an American stage, motion picture and television director and producer. He is best known for his work on The Tonight Show Starring Johnny Carson."
Frederick de Houtman,"Frederick de Houtman (1571 – 21 October 1627), or Frederik de Houtman, was a Dutch explorer who sailed along the Western coast of Australia en route to Batavia, nowadays known as Jakarta in Indonesia."
Frederick the Fair,"Frederick the Handsome (German: Friedrich der Schöne) or the Fair (c. 1289 – 13 January 1330), from the House of Habsburg, was Duke of Austria and Styria from 1308 as Frederick I as well as King of Germany from 1314 as Frederick III until his death."
Frederico Gil,"Frederico Gil (born 24 March 1985) is a Portuguese professional tennis player who competes on the ATP Tour. In April 2011, he achieved a career-high singles world ranking no. 62, the highest ranking a Portuguese player has ever held until September when Rui Machado placed 61st in the rankings. He was the first Portuguese to reach an ATP Tour final at the 2010 Estoril Open, and the first to achieve a career prize money over one million dollars. His former coaches were Juan Manuel Esparcia and Bernardo Mota. His coach is former player João Cunha e Silva."
Frederik Andersen,"Frederik Andersen (born 2 October 1989) is a Danish ice hockey goaltender, who currently plays for Norfolk Admirals of the American Hockey League (AHL). Andersen was a member of Denmark's national men's ice hockey team that competed at the 2010 IIHF World Championship. He was selected by the Carolina Hurricanes in the 7th round (187th overall) of the 2010 NHL Entry Draft. Unable to come to terms with the Hurricanes, Andersen was selected in the third round of the 2012 NHL Entry Draft (87th overall) by the Anaheim Ducks."
Frederik H. Kreuger,"Frederik Hendrik Kreuger (Amsterdam 14 May 1928), is a Dutch high voltage scientist and inventor, lives in Delft, the Netherlands, and is professor emeritus of the Delft University of Technology. He is also a professional author of technical literature, nonfiction books, thrillers and a decisive biography of the master forger Han van Meegeren."
Frederik Pohl,"Frederik George Pohl, Jr. (born November 26, 1919) is an American science fiction writer, editor and fan, with a career spanning over seventy-five years — from his first published work, ""Elegy to a Dead Planet: Luna"" (1937), through his most recent novel, All the Lives He Led (2011), to articles and essays published in 2012. From about 1959 until 1969, Pohl edited Galaxy and its sister magazine If; the latter won three successive annual Hugo Awards as the year's best professional magazine. His 1977 novel Gateway won four ""year's best novel"" awards: the Hugo voted by convention participants, the Locus voted by magazine subscribers, the Nebula voted by American science fiction writers, and the juried academic John W. Campbell Memorial Award. He won the Campbell Memorial Award again for the 1984 collection of novellas Years of the City, the only repeat winner in forty years. For his 1979 novel Jem, Pohl won a U.S. National Book Award in the one-year category Science Fiction. It was a finalist for three other year's best novel awards. In all he has won four Hugo and three Nebula Awards. The Science Fiction Writers of America named Pohl its 12th SFWA Grand Master in 1993 and he was inducted by the Science Fiction and Fantasy Hall of Fame in 1998, its third class of two deceased and two living writers. Pohl won the Hugo Award for Best Fan Writer in 2010, for his blog ""The Way the Future Blogs""."
Frederik Veuchelen,Frederik Veuchelen (born 4 September 1978 in Korbeek-Lo) is a Belgian professional road bicycle racer for UCI ProTeam Vacansoleil-DCM.
Fredric Wertham,"Fredric Wertham (March 20, 1895 – November 18, 1981) was a German-born American psychiatrist and crusading author who protested the purportedly harmful effects of violent imagery in mass media and comic books on the development of children. His best-known book was Seduction of the Innocent (1954), which purported that comic books are dangerous to children. Wertham's criticisms of comic books helped spark a U.S. Congressional inquiry into the comic book industry and the creation of the Comics Code. He called television ""a school for violence,"" and said ""If I should meet an unruly youngster in a dark alley, I prefer it to be one who has not seen Bonnie and Clyde."""
Fredrik Modin,"Fredrik ""Freddy"" Modin (born October 8, 1974) is a Swedish retired professional ice hockey left winger, who played 14 seasons in the National Hockey League (NHL) and most notably won the Stanley Cup with the Tampa Bay Lightning in the 2003–04 season."
Fredrik Stenman,Fredrik Stenman; born 2 June 1983 in Munktorp) is a Swedish footballer who plays for Belgian Belgian Pro League club Club Brugge as a defender.
Fredrika Bremer,"Fredrika Bremer (17 August 1801 - 31 December 1865) was a Swedish writer and a feminist activist. She had a large influence on the social development in Sweden, especially in feminist issues."
Freeway (rapper),"Leslie Edward Pridgen (born 8 July 1978), better known by his stage name Freeway, is an American rapper. Best known for his tenure on Roc-A-Fella Records and his affiliation with Jay-Z and Beanie Sigel. He is a believing Muslim. Like Rick Ross, his moniker is derived from the name of the infamous drug trafficker ""Freeway"" Ricky Ross. He was a member of the rap group Ice City, is a member of the rap group State Property and was briefly signed to Cash Money Records a year and a half. Freeway is currently with Rhymesayers Entertainment."
Frei Betto,"Carlos Alberto Libânio Christo, O.P. , better known as Frei Betto (born August 25, 1944) is a Brazilian writer, political activist, liberation theologist and Dominican friar. He was imprisoned for four years by the military dictatorship for smuggling people out of Brazil. His incarceration was part of an ongoing series of attacks by the government on members of the Roman Catholic Church. In addition to work on eliminating hunger in Brazil, Frei Betto is involved in various aspects of Brazil's politics. He worked for the government of Luiz Inácio Lula da Silva, for whom he was considered a spiritual advisor and mentor. As a liberation theologist, Frei Betto has been involved in various international efforts in order to support an understanding between Marxism and Christianity. During the 1980s, he visited Havana and held frequent and lengthy interviews with Fidel Castro, the result of such talks being a book, Fidel and Religion, where Castro exposed his views on Christianity, something that raised protest among conservatives but is also said to have improved relations between Castro's government and the Cuban Catholic Church. During Mikhail Gorbachev's Perestroika, Betto was also involved in various efforts aimed at an understanding between leaders of Russian Orthodox Church and the Communist Party of the Soviet Union, such efforts being described in the form of a travelogue published by him in 1993 in Portuguese, Lost Paradise, which the author dedicates to a certain Theophilus (""God's friend""), apparently the same as the mysterious addressee of the Gospel of Luke, which should be understood as a symbol of all Christians."
Fridianus,"Saint Fridianus (Italian: San Frediano, also Frigidanus, Frigidian, Frigianu), was an Irish prince and hermit, fl. 6th century. Tradition names him as a son of King Ultach of Ulster. He later became Bishop of Lucca in Italy. The Basilica of San Frediano in the city is dedicated to him."
Fridolin of Säckingen,"Saint Fridolin, otherwise Fridolin of Säckingen, traditionally believed to have been born in Ireland, was a missionary, and the founder of Säckingen Abbey, Baden, in the 6th or 7th century. He is honoured as the apostle of the Alamanns."
Fridolin von Senger und Etterlin,"Fridolin Rudolf Theodor, Ritter und Edler von Senger und Etterlin (September 4, 1891 – January 9, 1963) was a German general during World War II."
Friederike Krüger,"(Sophie Dorothea) Friederike Krüger, alias August Lübeck or Auguste Krüger was a soldier in the Prussian army."
"Friedrich, Prince of Waldeck and Pyrmont","Friedrich, Prince of Waldeck and Pyrmont (Friedrich Adolf Hermann Prinz zu Waldeck und Pyrmont; 20 January 1865 – 26 May 1946) was the last reigning Prince of Waldeck and Pyrmont from 12 May 1893 to 13 November 1918."
Friedrich-Jobst Volckamer von Kirchensittenbach,Friedrich-Jobst Volckamer von Kirchensittenbach (16 April 1894 – 3 April 1989) was a highly decorated General der Gebirgstruppe in the Wehrmacht during World War II who commanded the 16. Armee. He was also a recipient of the Knight's Cross of the Iron Cross. The Knight's Cross of the Iron Cross was awarded to recognise extreme battlefield bravery or successful military leadership. Friedrich-Jobst Volckamer von Kirchensittenbach was captured by Soviet troops in the Courland Pocket in May 1945 and was held until 1955.
Friedrich-Wilhelm Krüger,Friedrich-Wilhelm Krüger (27 February 1894 – 9 May 1945) was a Nazi official and high-ranking member of the SA and SS. Between 1939 and 1943 he was SS and Police Leader in the General Government in German-occupied Poland and in that capacity he organized and supervised numerous acts of war crimes.
Friedrich Albert Lange,"Friedrich Albert Lange (September 28, 1828 – November 23, 1875), was a German philosopher and sociologist."
Friedrich Christian Laukhard,"Friedrich Christian Laukhard (7 June 1757 – 28 April 1822) was a German novelist, philosopher, historian and theologian. From 1783 to 1794 he volunteered in the Prussian army as a musketeer. During the War of the first coalition his regiment (v. Thadden) campaigned in Valmy. Laukhard's military diary is of great interest for historical research on the Prussian army and the French revolutionary wars. Due to his licentious and extrovert lifestyle, ""Magister Laukhard"" soon became a notorious figure."
Friedrich Elchlepp,"Friedrich Elchlepp (* July 4, 1924 in Biederitz, Jerichower district, Germany † 2 March 2002 in Germany) was a World War II German Navy Oberleutnant zur See, a lawyer and a Konteradmiral (Rear Admiral) in the East German People’s Navy."
