name,description
ג'אקומו Lercaro,ג'אקומו Lercaro (28 באוקטובר 1891 - 18 אוקטובר 1976 ) היהקרדינל איטלקי שלהכנסייה הקתולית שכיהן כארכיבישוף של רוונה 1947-1952 
ג'אקומו דל פו,ג'אקומו דל פו (1654 - 15 נובמבר 1726) היהצייר איטלקי של הבארוק . 
ג'יאנלוקה Signorini,ג'יאנלוקה Signorini ( 17 מרס 1960 - 6 בנובמבר 2002) היהשחקן כדורגל איטלקי (כדורגל) 
ג'אנה ברטה מולה,סנט ג'אנה ברטה מולה (4 באוקטובר 
ג'אנה יסן,ג'אנה יסן ( נולד ב -6 באפריל 1977 לוס אנג'לס 
ג'יאני Guigou,ג'יאני Bismark Guigou מרטינז (נולד 22 פבואר 1975בנואבה פלמירה ) הוא כדורגלן אורוגוואי 
גדעון לוי,גדעון לוי הוא עיתונאי ישראלי. 
גיפורד פינצ'וט,גיפורד פינצ'וט ( 11 אוגוסט 1865 - 4 באוקטובר 
גיג יאנג,גיג יאנג (4 בנובמבר 1913 - 19 אוקטובר 1978 ) היהסרט אמריקאי 
גיגי ד 'אגוסטינו,Luigino סלסטינו די אגוסטינו (נולד 17 דצמבר 1967 ) 
גיגי ד ' אלסיו,לואיג'י \ גיגי \ ד ' אלסיו (24 בפברואר 1967) הוא זמרת פופולרית איטלקית וזמרת נפוליטני . 
גיגי Gryce,גיגי Gryce נולדו ג'ורג' הכללי גרייס 
גיל Eanes, 
גיל ג'רארד,גילברט ג \ גיל \ ​​ג'רארד (נולד 23 ינואר 1943 ) הוא שחקן אמריקאי 
גיל עופרים,גיל דורון Reichstadt עופרים הוא זמר גרמני 
גיל רובינס,גילברט לי \ גיל \ ​​רובינס ( 3 אפריל 1931 - 5 באפריל 2011) היההזמר פולק אמריקאי
גיל שחם,גיל שחם ( יליד פברואר 19
גיל שוויד,גיל שוויד הוא מתכנת 
גילברט איימס בליס,גילברט איימס בליס 
גילברט גוטפריד,גילברט גוטפריד (פברואר נולד 28
גילברט הרננדז,ג'ילברטו הרננדז 
גילברט היצ'קוק,גילברט Monell היצ'קוק ( 18 ספטמבר 1859 - 3 בפברואר 1934) היהנציגוסנטור מנברסקה 
גילברט נ Haugen,גילברט נלסון Haugen ( 21 אפריל 1859 - 18 ביולי 1933) הייתהנציג שבע עשרה טווח רפובליקני בארה\בממחוז קונגרס ה -4 של איווה 
גילברט או 'סאליבן,גילברט או 'סאליבן ( נולד ב -1 בדצמבר 1946) הואהזמרת אירית
גילברט Perreault, 
גילברט שלדון,גילברט שלדון (1598-1677) היהארכיבישוף של קנטרברי באנגלית .
גילברט Shelton, 
ג'ילברטו Agustoni,ג'ילברטו Agustoni (נולד 26 יולי 1922 ) הואכומר שוויצרי
ג'ילברטו Bosques Saldívar,ג'ילברטו Bosques Saldívar (נ. Chiautla 
ג'ילברטו סנטה רוזה,ג'ילברטו סנטה רוזה 
גילדה ( הזמר),גילדה (מבוטא \ Shilda \בCastillian הפופולרית הארגנטינית החדשה) ( אלחנדרה ביאנקי מרים נולד בוילת Devoto 
גיילס גילברט סקוט,סר גיילס גילברט סקוט
ז'יל APAP,ז'יל APAP (נולדו 21 מאי 1963 ) הואכנר קלאסי צרפתי. 
ז'יל Duceppe,ז'יל Duceppe הוא פוליטיקאי קנדי 
ז'יל Meloche,ז'יל Meloche הואgoaltender בדימוס קנדי מקצועי הוקי קרח ששיחקבליגת הוקי הלאומיתלהוקס שיקגו השחור
ז'יל Sunu,ז'יל Sunu (נולד ב -30 March 1991) הוא כדורגלן מקצועי צרפתי שמשחק בצרפתלוריין כחלוץ . 
ג'יליאן אנדרסון,ג'יליאן אנדרסון ליי (אוגוסט נולד 9
ג'יליאן קאולי,קאולי ג'יליאן ( \ גיל \ ​​) (נולד ב 8 יולי 1955 ) הואשחקן הוקי לשעבר מזימבבואה 
ג'ינה קאוס,ג'ינה קאוס
ג'ינה Krog,ג'ינה Krog ( 20 יוני 1847 - 14 אפריל 1916) היה חלוץ נורבגי פמיניסט 
ג'ינה מקי,ג'ורג'ינה \ ג'ינה \ מקי (נולד ב 14 אפריל 1964) הואשחקן אנגלי ידוע בתפקידיהבטלוויזיהבחברינובצפון (1996 ) 
ג'ינה טורס,ג'ינה טורס (נולד 25 אפריל 1969 ) הוא שחקנית טלוויזיה וקולנוע אמריקנית . 
ינט לקלרק,ינט לקלרק ( 9 פבואר 1912 - 2 ינואר 1992) היהשחקנית קולנוע צרפתית. 
דגי ג'ינג'ר,Kenny Wilson dirige de novo aqui 
ג'ינו Fano,ג'ינו פאנו ( 5 ינואר 1871 - 8 נובמבר 1952) היהמתמטיקאי איטלקי. 
ג'ינו פאולי,ג'ינו פאולי (נולדו 23 ספטמבר 1934בMonfalcone ) הואהזמרת איטלקית. 
ג'ורג'יו א Tsoukalos,Giorgio A. Tsoukalos {{
ג'ורג'יו דה Sebenico,ג'ורג'יו דה Sebenico ( קרואטי : . Juraj Dalmatinac ; ג 1410 - 10 נובמבר 1475) היה פסל ואדריכל בימי הבינייםמדלמטיה 
Giovan טיסטה Ruoppolo,Giovan טיסטה Ruoppolo (1629-1693) היה צייר נפוליטנימתקופת הבארוק 
ג'ובאני אנדריאה Scartazzini,ג'ובאני אנדריאה Scartazzini 
ג'ובאני אנטוניו Scopoli,ג'ובאני אנטוניו Scopoli (לפעמים Latinized כמו יוהנס אנטוניוס Scopolius ) ( 3 1
ג'ובאני בטיסטה Caprara,ג'ובאני בטיסטה Caprara מונטקוקולי ( 1733-1810 ) . היהמדינאי איטלקי וקרדינל וארכיבישוף של מילאנו 1802-1810 נציגו של פיוס שביעי בצרפת 
ג'ובאני בטיסטה Caproni,ג'ובאני בטיסטה Caproni (1886-1957) 
ג'ובאני בטיסטה דונאטי,ג'ובאני בטיסטה דונאטי ; 
ג'ובאני בטיסטה Foggini,ג'ובאני בטיסטה Foggini ( 25 אפריל 1652 - 12 אפריל 1725) היהפסל איטלקי פעיל בפירנצה
ג'ובאני בטיסטה Gaulli,ג'ובאני בטיסטה Gaulli ( 8 מאי 1639 - 2 אפריל 1709 ) 
ג'ובאני בטיסטה Innocenzo קולומבו, 
ג'ובאני Passannante,ג'ובאני Passannante ( 19 פבואר 1849 - 14 פבואר 1910 ) היה אנרכיסט איטלקי
ג'ובאני פייטרו דה Pomis,ג'ובאני פייטרו דה Pomis ( ca.1565 או 1569/70 - 6 מרץ 1633) היהצייר איטלקי 
ג'ירולמו דה ראדה,ג'רונימו דה ראדה הייתהסופר איטלקי של ספרות איטלו - אלבנית. 
גיזלה Oeri,גיזלה \ גיגי \ Oeri הואיו\ר שוויצרי גרמני כדורגל ונדבן נולד 8 נובמבר 1955בSchopfheim 
גיטה מהטה,גיטה מהטה (נולדה בשנת 1943 ) היאסופר הודיונולדה בדלהיבמשפחת אוריה נודע של לוחמי חופש . 
ג'וליאנו פיגראס,ג'וליאנו פיגראס (נולד ב 24 ינואר 1976 בנאפולי ) הוארוכב אופני כביש איטלקי לשעבר מקצועי. 
ג'וליאנו Montaldo,ג'וליאנו Montaldo (נולד 22 פבואר 1930 בגנואה ) הואבמאי קולנוע איטלקי. 
ג'וליו אסקולי,ג'וליו אסקולי ( 20 ינואר 1843 
ג'וליו Boschi,ג'וליו Boschi ( 2 מרס 1838 - 15 מאי 1920) היהקרדינל איטלקי שלהכנסייה הקתולית שכיהן כארכיבישוף של פרארה 1900-1919 
ג'וזפה אמאטו,ג'וזפה אמאטו ( 24 אוגוסט 1899 - 3 בפברואר 1964) היהמפיק סרטים איטלקי
ג'וזפה Beltrami,ג'וזפה Beltrami ( 17 ינואר 1889 - 13 דצמבר 
ג'וזפה ברטו,ג'וזפה ברטו (27 דצמבר 1
ג'וזפה Ferretto,ג'וזפה אנטוניו Ferretto (9 במרץ 
ג'וזפה גמבה,ג'וזפה גמבה ( 25 אפריל 1857 - 26 דצמבר 1929) הייתהקרדינל של הכנסייה הקתוליתוארכיבישוף של טורינו. 
ג'וזפה מורי,ג'וזפה מורי (24 ינואר 1850-1830 ספטמבר 1934 ) היהקרדינל איטלקי שלהכנסייה הקתולית. 
ג'וזפה Pecci,ג'וזפה Pecci S.J. 
ג'וזפה פלה, 
ג'וזפה Pizzardo,ג'וזפה Pizzardo ( 13 יולי 1877 - 1 באוגוסט 1970) היהקרדינל איטלקי של הכנסייה הקתולית 
ג'וזפה ריינה,ריינה ג'וזפה ' בילי ' (נולדה 15 אפריל 1972באונא ) היא שחקן כדורגל גרמני בדימוס . 
ג'וזפה Sensi,ג'וזפה מריה Sensi (27 במאי 1907-1926 יולי 2001) היהקרדינל שלהכנסייה הקתולית שכיהן כדיפלומט הוותיקן ותיק . 
ג'וזפה Siri,ג'וזפה Siri ( 20 מאי 1906 - 2 מאי 1989) היהקרדינל איטלקי של הכנסייה הקתולית שכיהן כארכיבישוף של גנואה 1946-1987 
ג'וזפה ורונזה,ג'וזפה ורונזה ( 7 מאי 1854 - 17 ביולי 1917) היומתמטיקאי איטלקי. 
גלדיס Aylward,גלדיס מאי Aylward ( 24 פבואר 1902 - 3 בינואר 1970) היה מיסיונר בריטי האוונגליסטית נוצרי לסין שסיפורו נאמר לי בספרהאישה הקטן על ידי אלן ברג'ס 
גלן בנטון,גלן בנטון (נולד ב -18 יוני 1967) הואמוסיקאי מטאל אמריקאיושטן . 
גלן קוק,גלן קוק (נולד ב 9 ביולי 1944) הוא סופר המדע בדיוני ופנטזיה אמריקאיות בת זמננו 
גלן גריי,גלן גריי (7 ביוני 1906 - 23 אוגוסט 1963 ) היה סקסופוניסט ג'אז ומנהיג שלקאזה לומה התזמורת .
גלן הרדין,גלן ד הרדין (נולד גלן די הרדין יום 18 באפריל 1939) הואפסנתרן אמריקאי ומעבד. 
גלן מרפי, 
גלן סייתר,גלן קמרון \ שלבי העץ \ סייתר ( נולד ב 2 בספטמבר 1943) הוא הנשיא ומנהל הכללי שלניו יורק ריינג'רסמהליגה הלאומית להוקי ( NHL). 
גלן בק,גלן אדוארד לי בק (נולד פבואר 10
גלן הול,גלן הנרי \מר השוער \ הול (נולד ב 3 אוקטובר 1931 ) הואgoaltender הוקי קרח מקצועי לשעבר. 
גלן Meade,גלן Meade הוא סופר אירי. 
גלן קווין,גלן מרטין כריסטופר פרנסיס קווין (28 מאי 1
גלוריה אסטפן,גלוריה מריה Milagrosa Fajardo גרסיה דה אסטפן 
גלוריה גרהם,גלוריה גרהם ( 28 נובמבר 1923 - 5 באוקטובר 1981) היהשלב אמריקאי
גלוריה לה ריבה,גלוריה אסטלה לה ריבה היאפוליטיקאי אמריקאי הקשורים למפלגהלסוציאליזםושחרורועוד יותר מכך עם מפלגת השלום וחופש . 
גלוריה סטיינם,גלוריה סטיינם מארי (נולד 25 מרס 1934 ) הואפמיניסט אמריקאי 
גלוריה ונדרבילט,גלוריה ונדרבילט לורה (פברואר נולד 20 
גלין ג'ונס,גלין תומס ג'ונס הואמוסיקאי אנגלי 
גלין מודי,גלין מודי הוא סופר טכנולוגיה. 
לכו טנקה,עבור טנקה הוא מרכז מקצועי יפני הוקי קרח כרגע משחק עלהלהבים חינם Tohoku של ליגת אסיה. 
גואר של אקיטן,סנט גואר של אקיטן (כ 585-6 649 יולי ) היה כומרונזירמהמאה השביעית. 
גודפרי רג'יו,גודפרי רג'יו (נולד 29 מרס 1940 ) הוא במאי של סרטים דוקומנטריים ניסיוניים אמריקאי.
גודווין פון Brumowski,Godwin von Brumowski {{
Gojong של האימפריה הקוריאנית,Gojong 
גולדי ההון,גולדי הון ז'אן (נולד 21 נובמבר 1945 ) הוא שחקנית אמריקנית 
גולדי לוק,Keiwan Deshawn Spillman הידוע יותר בשם הבמה שלו גולדי לוק הואראפר שהיה פעם חבר של Tha Eastsidaz עם סנופ דוג ומגש deee .
גולדי McJohn, 
Gomi קוסוקה,Gomi קוסוקה הייתההשם העט של Gomi Yasusuke 
Gondulph של מאסטריכט, 
גונזלס Coques,גונזלס Coques ( 8 בדצמבר 1614-1618 אפריל 1684 ) היה צייר בארוק פלמי .
גונזלו פונסקה,גונזלו פונסקה ( 2 יולי 1922 - 11 יוני 1997) הייתה אמן אורוגוואי הידוע בפיסול האבן שלו. 
גונזלו חימנס דה Quesada,גונזלו חימנס דה Quesada ( 1506-1516 February 1579) היהחוקר ספרדיוכובש בקולומביה. 
גונזלו Sorondo,גונזלו Sorondo Amaro (נולד ב 9 אוקטובר 1979 במונטווידאו ) הוא כדורגלן אורוגוואישהואסוכן חופשי כיום . 
גונזלו Zárate,גונזלו Eulogio סראטה (נולד ב 6 אוגוסט 1984ברוסאריו 
Goodluck יונתן,Goodluck Ebele Azikiwe ג'ונתן 
גוראן Gavrančić,גוראן Gavrančić הואהמגן כדורגל סרבי לשעבר.
גוראן Ivanisevic,גוראן Ivanisevic (נולד 13 ספטמבר 1971 ) הוא שחקן טניס בגמלאות קרואטי מקצועי. 
גוראן Pandev,גוראן Pandev 
הגורדים האו,גורדון האו
גורדון בריסקר,גורדון בריסקר (6 בנובמבר 1937
גורדון Buehrig, 
גורדון קמפבל,גורדון מויר קמפבל
גורדון דראמונד,סר גורדון דראמונד
גורדון גקו,גורדון גקו הוא דמות בדיונית 
גורדון גולד,גורדון גולד ( 17 יולי 1920 - 16 ספטמבר 2005) היהפיזיקאי אמריקאי שהוא באופן נרחב
גורדון הסקל,גורדון האסקל הואפופ
גורדון ג'קסון (שחקן),גורדון קמרון ג'קסון
גורדון מקווין,גורדון מקווין הוא שחקן לשעבר סקוטי כדורגל 
גורדון מיכאל Woolvett,גורדון מיכאל Woolvett (נולד 12 יוני 1970 ) הוא שחקן יליד קנדהמהמילטון
גורדון מיטשל,גורדון מיטשל (נולד צ'רלס אלן פנדלטון ; 29 יולי 1923 - 20 ספטמבר 
גורדון פארקס,Para o jornalista esportivo escocês e ex- jogador de futebol
גורדון Pask,אנדרו גורדון Speedie Pask 28 (ביוני 
גורדון פינסנט,גורדון פינסנט אדוארד 
גורדון זאן,גורדון זאן (נולד גורדון צ'ארלס פול רואץ' 7 אוגוסט 1918 במילווקי 
גור Ouseley,סר גור Ouseley 
גרי שימורה,גרי שימורה הואמתמטיקאי יפני
Goseki קוג'ימה,Goseki קוג'ימה הייתה אמן מנגה יפנית.
גוטה Yashiki, 
גוטפריד כריסטוף Beireis,גוטפריד כריסטוף Beireis (2 במרץ 1730-1718 1809 ספטמבר) היה כימאיורופא גרמני . 
גוטפריד היינריך גרף zu פפנהיים,גוטפריד היינריך הגרף zu פפנהיים ( 29 מאי 1594 - 17 נובמבר 1632 ) היה מצביאה של האימפריה הרומית הקדושהבמלחמתשלושים השנים.
גוטפריד Helnwein,גוטפריד Helnwein (נולד ב 8 אוקטובר 1948 בווינה ) הוא אמן בסדר אוסטרי אירי 
גוטפריד Huppertz,גוטפריד Huppertz (11 במרץ 1887-7 February 1937) היה מלחין גרמני
גוטפריד קינקל,יוהן גוטפריד קינקל ( 11 אוגוסט 1815 - 13 נובמבר 1882) היהמשורר גרמני ציין גם לפעילות המהפכנית שלוובריחתו מבית כלא הפרוסי בשפנדאו בעזרת חברו קרל שורץ .
גוטפריד Lindauer,גוטפריד Lindauer 
גוטפריד סמפר,גוטפריד סמפר ( 29 נובמבר 1803 - 15 מאי 1879 ) היהאדריכל גרמני 
גוטפריד וגנר,גוטפריד וגנר (נולד 13 אפריל 1947בביירוית ) הואמנהל מולטימדיהופובליציסט. 
גוטהרד Graubner,גוטהרד Graubner (נולד 13 יוני 1930 ) הוא צייר גרמני
גוטהרד Handrick,קרל הרמן גוטהרד Handrick (25 באוקטובר 1908-1930 מאי 1978) היה ספורטאי אולימפי גרמני וטייס קרב גרמני במלחמת האזרחים בספרדומלחמת העולם השנייה .
גוטהרד היינריצי,גוטהרד היינריצי ( 25 דצמבר 1886 - 13 דצמבר 1971) הייתה גנרל בצבא הגרמני במלחמת העולם השנייה . 
גוטשלק ( נסיך Obotrite ),סנט גוטשלק (או Godescalc ) ( מת 6 יוני 1066 ) היה נסיך שלהקונפדרציה Obotrite 1043-1066 . הוא הקיםממלכה הסלאבית על אלבה ( באזור של צפון מזרח גרמניה של היום ) באמצע המאה 11th - . 
גוברנור ק וורן,גוברנור קמבל וורן ( 8 ינואר 1830 - 8 באוגוסט 
Govan מבקי, 
גויה טולדו,גרגורי מיכאלה טולדו Machin 
גרייס ג'ונס, 
גרייס לי וויטני,גרייס לי וויטני (נולד מרי אן צ'ייס ; 1 אפריל 1930 ) הוא שחקניתובדרנית אמריקנית. 
גרייס סליק,גרייס סליק (נולדה Wing ; נולד 30 אוקטובר 1939) הואזמרת אמריקנית 
גרציה Baur,גרציה ארבלה באור (נולד 18 נובמבר 1982 במינכן ) 
Graciliano ראמוס,Graciliano ראמוס דה אוליביירה ( 27 אוקטובר 1892 - 20 מרס 1953 ) הייתה סופר מודרניסטי 
Gracy סינג,Gracy סינג (נולד ב 20 יולי 1980בדלהי
גריידי טייט,גריידי טייט (נולד 14 ינואר 1932 ) הואההארד בופ ומתופף נפש ג'אזוהזמר. 
גריים Dott,Graeme Dott (nascido em 12 de maio de 1977 ) é um jogador profissional de snooker escocês de Larkhall . 
גרהאם בונד,גרהם ג'ון קליפטון בונד (28 באוקטובר 1937-8 מאי 1974) היהמוסיקאי אנגלי 
גרהם דאו,ג'פרי גרהם דאו (נולד ב 4 יולי 1942 ) היההבישוף האנגליקני של קרלייל 2
גרהם פוקנר,גרהם פוקנר הוא שחקן בריטי לשעבר . 
גרהם Gouldman,גרהם קית Gouldman (נולד 10 מאי 1946 ) הואכותב שירים באנגלית ומוסיקאי שהוא חבר של 10cc להקה הבריטי ותיק.
גרהם נאש,גרהם ויליאם נאש
הדוכסית אנה פטרובנה של רוסיה,הדוכסית אנה פטרובנה של רוסיה
גרנט אלן,צ'ארלס גרנט Blairfindie אלן (24 בפברואר 1848 - 25 אוקטובר 1899 ) היהסופר מדע וסופר 
גרנט Fuhr,גרנט סקוט Fuhr (נולד 28 ספטמבר 1962 ) הואgoaltender קנדי לשעבר הוקי קרחבהוקי הליגה הלאומית ומאמן goaltending לשעברלזאבי פיניקס. 
גרנט מקלינן,גרנט ויליאם מקלינן (12 פברואר 1958-6 מאי 2006) היההזמרת אוסטרלית עם להקת הרוק האלטרנטיביתהמתווכים 
גרנט מוריסון,גרנט מוריסון
גרנט ווד,גרנט DeVolson ווד (13 בפברואר 1891 - 12 פבואר 1942 ) היהצייר אמריקאי שנולד ארבעה קילומטרים ממזרח Anamosa 
Grantley הרברט אדמס,סר הרברט Grantley אדמס
גריי דייוויס, 
גרג אדאמס (ב הוקי קרח. 1963),גרגורי דרן אדמס (נולד 15 אוגוסט 1963 ) הואקיצוני הוקי קרח קנדי לשעבר ששיחק בליגה הלאומית להוקי (NHL ) 1984-2001 .
גרג בר,גרגורי דייל דוב (נולד 20 אוגוסט 1951 ) הואמדע בדיוני אמריקאי ומחבר הזרם המרכזי. 
גרג Burson,גרגורי לואיס \ גרג \ בארסון ( 29 יוני 1949 - 22 יולי 2008) היהשחקן קול אמריקאי.
גרג Dulli,גרג Dulli (נולדו 11 מאי 1965 ) הואמוסיקאי רוק אמריקאים.
גרג איגן,גרג איגן (נולד 20 אוגוסט 1961 ) הואסופר המדע בדיוני אוסטרלי. 
גרג אריקו, 
גרג Ginn,גרגורי Regis Ginn (נולד 8 יוני 1954 ) הוא גיטריסט 
גרג האו,גרגורי \ גרג \ האו (נולד 8 דצמבר 1963 ) הוא גיטריסטומלחין אמריקאי . 
גרג Iles,Greg Iles (nascido em 1960) é um escritor best-seller americano e roteirista que vive em Mississippi. 
גרג ז'ולי,גרגורי ג'יימס ז'ולי הוא שחקן בדימוס לשעבר הוקי קרח מקצועי שגויס הכוללים מספר אחתבטיוטת NHL חובב 1974 על ידיוושינגטון קפיטלסמהטופחת רגינה . 
גרג לייק,גרגורי סטיוארט \ גרג \ לייק (נולד ב -10 נובמבר 1947) הואמוסיקאי אנגלי
גרג Marcks,גרג Marcks (נולד 12 אוגוסט 1976 בקונקורד
גרג נורמן,גרגורי ג'ון נורמן AO (נולד פבואר 10
גרג פאלאסט,גרגורי Allyn Palast (נולד 26 יוני 1952 ) הוא סופר ניו יורק טיימס רב המכרועיתונאי עצמאילתאגיד השידור הבריטי 
גרג Poss,גרג Poss הוא שחקן אמריקאי לשעבר הוקי ומאמן הנוכחי . 
גרג רידלי,רידלי אלפרד גרגורי \ גרג \ היה אחדמהבסיסטים הרוק הגלויים יותר באנגליה
גרג Rucka,גרגורי \ גרג \ Rucka (נולד 29 נובמבר 1969 ) הואסופר אמריקאי קומיקס וסופר 
גרג וייז,מתיו גרגורי וייז (נולד 15 מאי 1966 ) הואשחקן אנגליויצרן. 
גרג Zanon,גרג Zanon (נולד ב 5 יוני 1980 ) הואdefenseman המקצועי קנדי הוקי קרח כרגע משחק על מפולת שלגים שלהוקי הליגה הלאומית קולורדו.
גרג אראקי,גרג אראקי (נולד 17 דצמבר 1959 ) הוא יוצר סרטים עצמאיים אמריקאים. 
גרג הנרי,גרג הנרי לי (נולד ב 6 מאי 1952 ) הוא שחקן תיאטרון אמריקאי 
גרגור Gysi,גרגור Gysi (נולד 16 ינואר 1948 ) הוא עורך דין ופוליטיקאי גרמני המרכזי שלהמפלגה הסוציאליסטית השמאלנית הפוליטיתהשמאל ( Die Linke ) . 
גרגור מק 'גרגור,גרגור מקגרגור ( 24 דצמבר 1786 - 4 בדצמבר 1845) היה חייל סקוטי
Gregorij רוזמן,Gregorij רוזמן ( 17 מאי 1883 - 16 נובמבר 1959) היה כומר הסלובני קתוליותיאולוג . 
גרגוריו פונטנה,גרגוריו פונטנה ( 7 דצמבר 1735 - 24 באוגוסט 1803) הייתהמתמטיקאי איטלקי. 
גרגורי Žatkovich,גרגורי איגנטיוס Zhatkovich ( 2 בדצמבר
גרגורי Crewdson,גרגורי Crewdson (נולד 26 ספטמבר 1962 ) הואצלם אמריקאישידוע בעיקר בזכות סצנות מבוימות בקפידה של בתים אמריקאים ובשכונות .
גרגורי דיוויד רוברטס,גרגורי דיוויד רוברטס ( שנולד מיוני 1952) (נולד ב גרגורי ג'ון פיטר סמית ) הואסופר אוסטרלי ידוע בעיקר בזכות הרומן שלו Shantaram . 
גרגורי מקדונלד, 
גריג נורי,גריג אנדרו נורי (נולד 21 נובמבר 1964 ) הוא מפיק ומוסיקאימסאלט . 
גרטה Gulbransson,גרטה Gulbransson (נולד Jehly 
גרטה שטרן,גרטה שטרן (9 במאי 1904-1924 דצמבר 1999) היהצלם גרמני ( מאוחר יותר הולאם ארגנטיני ) . 
גרטה Waitz,גרטה Waitz ( 1 אוקטובר 1953 - 19 אפריל 2011) היהרץ מרתון נורבגי ושיאן העולם לשעבר. 
גריגורי Chukhrai,גריגורי Naumovich Chukhrai (רוסית : Григорий Наумович Чухрай 
גריגורי גרשוני,גריגורי Andreyevich גרשוני (רוסית : Григорий Андреевич Гершуни ; 29 ספטמבר 1870 - 29 מרס 1908 ) היהרוסי מהפכניואחד ממייסדיה של מפלגת המהפכה הסוציאליסטית .
גריגורי Kotovsky,גריגורי איבנוביץ' Kotovsky היההרפתקן 
גריגורי מרגוליס,גרגורי אלכסנדרוביץ' מרגוליס (רוסית : Григорий Александрович Маргулис 
גריגורי פוטיומקין, 
גריגורי סמיונוב,גריגורי Mikhaylovich סמיונוב 
חצץ Šadeiko,חצץ Šadeiko (נולד 29 יולי 1989בסאקו ) הואheptathlete אסטונית . 
גרובר מיטשל,גרובר קארי מיטשל ( 17 מרס 1930בוטלי 
גרובר וושינגטון ג'וניור,גרובר וושינגטון ג'וניור ( 12 דצמבר 1943 - 17 דצמבר 
הצרוד רייס,Gruffydd Maredudd בואן רייס (נולד 18 יולי 1970בHaverfordwest ) הוא מוסיקאי וולשי 
גז'גוז' Dolniak,גז'גוז' מאצ'יי Dolniak ( Dawl -לבית - ak Gizh - EH- gozh ; 17 פבואר 1960 בבנדין - 10 אפריל 2010) היה פוליטיקאי פולני. 
גז'גוז' Sandomierski,גז'גוז' Sandomierski הואשוער כדורגל פולני 
גו Changwei,גו Changwei (נולד 12 דצמבר 1957 ) הואצלם ובמאי קולנוע סיני . 
גואי Boratto,גואי Boratto (נולד 1974 בסאו פאולו ) הוא מפיק מוסיקה אלקטרונית ברזילאי. 
גידו אסקניו ספורצה די סנטה פיורה, 
גווידו Fulst,גווידו Fulst הוארוכב אופניים מירוץ גרמני
גווידו Gezelle,גידו פיטר תאודורוס יוספוס Gezelle ( 1 מאי 1830 - 27 נובמבר 1899) היהסופר בעל השפעה שפה הפלמיתומשוררוכומר קתולי מבלגיה.
גווידו Gozzano,גווידו גוסטבו Gozzano ( 19 דצמבר 1883 - 9 באוגוסט 1916) היהמשורר וסופר איטלקי.
גידו שמידט,גידו שמידט (נולד יום 15 בינואר 1901 בBludenz 
גיום אנטואן אוליבייה,גיום אנטואן אוליבייה ( 19 ינואר 1756 - 1 אוקטובר 1814 ) היהחוקר חרקים צרפתים. 
Guillem מארטי Misut,Guillem מארטי Misut 
גוויניבר טרנר,גוויניבר ג'יין טרנר ( 23 מאי 1968 ) הוא שחקניתותסריטאית אמריקנית. 
הגיטרה Slim,אדי ג'ונס ( 10 דצמבר 1926 - 7 פבואר 1959 ) 
Novin Guity,Novin Guity ( Navran נולד Guity 1944) הואצייר פיגורטיבי איראני קנדי 
Gundi בוש,Gundula ( \ Gundi \ ) בוש הואמחליק דמות גרמנית ומאמן. 
גונאר הייברג,גונאר אדוארד Rode הייברג ( 18 נובמבר 1857 - 22 בפברואר 1929) היה מבקר משורר
גונאר נורדסטרום,גונאר נורדסטרום ( 12 מרס 1881 - 24 דצמבר 1923) היה פיזיקאי תיאורטי פיני נזכר הטוב ביותר עבור תיאורית הכבידה שלו
Gunnhild ,Gunnhild konungamóðir ( אמא של מלכים ) או Gunnhild Gormsdóttir (כ 910 - . ג 980 ) היא דמות המופיעה בסגות האיסלנדיות
גונתר פון Hagens,גונתר פון Hagens ( לייבשן נולד גונתר 
גואו Moruo,גואו Moruo 
גורו דאט,Vasanth קומאר Shivashankar Padukone ( 9 יולי 1925 - 10 אוקטובר 1964 ) 
גאס קנון,גאס קאנון (12 בספטמבר 1883 - 15 אוקטובר 1979 ) הייתהמוסיקאי בלוז אמריקאי שסייע להפיץ את להקות פך ( כגון stompers פך של קנון שלו )וב1920s 1930s . 
גאס הנסן,גוסטב \ גאס \ הנסן (נולד גוסטב ג'ייקובסן על 13 פבואר 1974 מחוץ קופנהגן
גאס ג'ונסון ( מוסיקאי ג'אז ),גאס ג'ונסון ( 15 נובמבר 1913 - 6 פברואר 
גוסטב Åkerhielm,Friherre יוהאן גוסטב נילס סמואל Åkerhielm של Margaretelund ( 24 יולי 1833 - 2 אפריל 1900 ) היה פוליטיקאי 
גוסטב אדולף יעקב נוימן,גוסטב אדולף יעקב נוימן (נולד 1924) הואעורך עיתונאי ועיתון חקירה אוסטרי ידוע בפעילותו נגד הפלות של צדק במהלך 1950s .
גוסטב אוגוסט מונזר, 
גוסטב הירשפלד,גוסטב הירשפלד (4 בנובמבר 1847
גוסטב אדולף הרביעי של שוודיה,גוסטב אדולף הרביעי של שבדיה גם גוסטב אדולף ( 1 נובמבר 1778 - 7 פבואר 1837 ) היה מלך שבדיהמ1792 עד התפטרותוב -1809 הוא היה בנו של גוסטב שלישי משוודיהוזוגתומלכת סופיה מגדלנה 
גוסטב Jäger,גוסטב ייאגר ( 23 יוני 1832 - 13 מאי 
גוסטב פשוט,גוסטב בדיוק ( 16 יוני 1921 - 23 פברואר 2011) היה המזכיר הראשון של הסופרים הגרמנים אגודה ( DSV )ועורך הראשי שלזונטאג השבועי מזרח גרמניה עד 1957 
גוסטב Kampendonk,גוסטב Kampendonk ( 30 מאי 1909 - 29 יוני 1966) היהתסריטאי גרמני. 
